Avg WT,Max WT,Avg TAT,Max TAT
"135,06",456,"139,82",466
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p0,0,7,173,173,166
p5,0,7,180,180,173
p12,0,4,4,4,0
p20,0,0,0,0,0
p40,0,8,223,223,215
p48,0,9,304,304,295
p56,0,4,59,59,55
p57,0,5,84,84,79
p69,0,10,386,386,376
p72,0,9,313,313,304
p90,0,9,322,322,313
p1,1,6,130,129,123
p8,1,2,15,14,12
p14,1,4,63,62,58
p19,1,1,5,4,3
p49,1,10,396,395,385
p60,1,8,231,230,222
p89,1,4,67,66,62
p99,1,2,17,16,14
p9,2,7,187,185,178
p11,2,7,194,192,185
p13,2,8,239,237,229
p34,2,2,19,17,15
p35,2,1,6,4,3
p71,2,8,247,245,237
p75,2,0,4,2,2
p79,2,8,255,253,245
p87,2,10,406,404,394
p93,2,8,263,261,253
p94,2,10,416,414,404
p98,2,1,7,5,4
p3,3,3,34,31,28
p4,3,6,136,133,127
p16,3,0,4,1,1
p17,3,0,4,1,1
p23,3,8,271,268,260
p28,3,7,201,198,191
p30,3,10,426,423,413
p41,3,0,4,1,1
p42,3,9,331,328,319
p59,3,2,21,18,16
p80,3,6,142,139,133
p29,4,4,71,67,63
p36,4,2,23,19,17
p50,4,0,4,0,0
p61,4,0,4,0,0
p63,4,6,148,144,138
p64,4,6,154,150,144
p73,4,2,25,21,19
p81,4,9,340,336,327
p86,4,2,27,23,21
p97,4,3,37,33,30
p10,5,7,208,203,196
p15,5,5,89,84,79
p24,5,0,5,0,0
p38,5,0,5,0,0
p47,5,0,5,0,0
p67,5,0,5,0,0
p77,5,5,94,89,84
p82,5,3,40,35,32
p83,5,9,349,344,335
p85,5,9,358,353,344
p96,5,7,215,210,203
p2,6,9,367,361,352
p21,6,3,43,37,34
p52,6,6,160,154,148
p54,6,8,279,273,265
p55,6,1,8,2,1
p78,6,2,29,23,21
p91,6,6,166,160,154
p6,7,10,436,429,419
p25,7,9,376,369,360
p27,7,10,446,439,429
p44,7,1,9,2,1
p58,7,4,75,68,64
p62,7,10,456,449,439
p65,7,5,99,92,87
p66,7,0,7,0,0
p68,7,3,46,39,36
p74,7,8,287,280,272
p84,7,10,466,459,449
p26,8,3,49,41,38
p31,8,1,10,2,1
p32,8,1,11,3,2
p37,8,4,79,71,67
p53,8,1,12,4,3
p95,8,5,104,96,91
p7,9,5,109,100,95
p22,9,1,13,4,3
p33,9,3,52,43,40
p43,9,0,9,0,0
p45,9,2,31,22,20
p51,9,8,295,286,278
p70,9,0,9,0,0
p76,9,0,9,0,0
p92,9,5,114,105,100
p18,10,5,119,109,104
p39,10,3,55,45,42
p46,10,10,476,466,456
p88,10,5,124,114,109
